问题触发时间,地市,区县,TAC(LAC),数据来源,问题归类(二级),类别要素,主指标表征值,处理优先级,是否为FDD站点,是否指纹库智能分析系统运算,是否列为白名单,是否为性能交维站点,资管生命周期状态,劣化次数,告警触发次数,日均流量(GB),业务要素,场景要素,覆盖类型,覆盖场景,中心经度,中心维度,厂家名称,自愈状态
9月,金华,武义,22420,北向性能,无线切换质差,质量,92.36,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,乡镇,119.918,28.881,诺基亚,派单
9月,金华,武义,26558,北向性能,无线接通质差,质量,95.96,高,否,是,否,是,现网,3,13,0,数据,室外,室外,村庄,119.501,28.571,诺基亚,派单
8月,金华,东阳,26513,北向性能,无线掉线质差,质量,3.94,高,否,是,否,是,现网,5,2,0,数据,室外,室外,村庄,120.507,29.406,诺基亚,派单
9月,金华,东阳,22431,北向性能,VOLTE丢包质差,质量,5.86,高,否,否,否,是,现网,3,3,0,语音,室外,室外,村庄,120.299,29.342,诺基亚,派单
8月,金华,永康,26519,北向性能,无线接通质差,质量,96.66,高,否,否,否,是,现网,3,4,0,数据,室外,室外,村庄,120.104,28.844,诺基亚,派单
10月,金华,磐安,22422,北向性能,无线接通质差,质量,96.51,高,否,否,否,是,现网,4,5,0,数据,室外,室外,村庄,120.312,28.912,诺基亚,派单
10月,金华,磐安,26778,北向性能,无线接通质差,质量,95.7,中,否,否,否,是,现网,3,1,0,数据,室外,室外,村庄,120.682,29.12,诺基亚,派单
7月,金华,金东,26775,北向性能,无线切换质差,质量,90.98,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.79,29.162,华为,派单
7月,金华,义乌,22673,北向性能,无线切换质差,质量,90.87,高,否,否,否,是,现网,3,15,0,数据,室外,室外,低层居民区,119.953,29.294,华为,派单
9月,金华,义乌,22684,SEQ,CSFB回落质差,质量,90.63,高,否,否,否,是,现网,5,6,0.03,语音,室外,室外,低层居民区,119.984,29.312,华为,派单
9月,金华,磐安,22422,北向性能,无线接通质差,质量,94.09,高,否,是,否,是,现网,5,6,0,数据,室外,室外,村庄,120.565,29,诺基亚,派单
8月,金华,磐安,22422,北向性能,无线接通质差,质量,95.91,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.565,29,诺基亚,派单
10月,金华,兰溪,26752,北向性能,无线切换质差,质量,90.97,高,否,否,否,是,现网,5,16,0.01,数据,室外,室外,村庄,119.401,29.246,诺基亚,派单
